GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Inventory Service,com.smartsupplypro.inventory.repository.custom.util,DatabaseDialectDetector,12,20,5,1,1,5,4,3,1,3
Inventory Service,com.smartsupplypro.inventory.exception.dto,ErrorResponse.Builder,9,57,6,4,1,17,5,5,0,5
Inventory Service,com.smartsupplypro.inventory.exception.dto,ErrorResponse,0,35,0,0,0,11,0,6,0,6
Inventory Service,com.smartsupplypro.inventory.model,AppUser,3,43,0,0,1,13,1,2,1,2
Inventory Service,com.smartsupplypro.inventory.model,StockHistory,3,4,1,1,1,2,1,1,0,1
Inventory Service,com.smartsupplypro.inventory.model,Role,7,15,0,0,1,3,1,1,1,1
Inventory Service,com.smartsupplypro.inventory.model,InventoryItem,4,59,7,17,1,12,7,6,0,1
Inventory Service,com.smartsupplypro.inventory,InventoryServiceApplication,5,3,0,0,2,1,1,1,1,1
Inventory Service,com.smartsupplypro.inventory.controller,AuthController,0,133,0,6,0,41,0,8,0,5
Inventory Service,com.smartsupplypro.inventory.controller,SupplierController,4,91,1,5,1,17,2,9,1,7
Inventory Service,com.smartsupplypro.inventory.controller,InventoryItemController,0,139,2,8,0,30,2,16,0,13
Inventory Service,com.smartsupplypro.inventory.controller,AnalyticsController,4,191,0,0,1,35,1,10,1,10
Inventory Service,com.smartsupplypro.inventory.controller,AuthController.AppUserProfileDTO,0,15,0,0,0,1,0,1,0,1
Inventory Service,com.smartsupplypro.inventory.controller,RootRedirectController,6,6,0,0,1,1,1,1,1,1
Inventory Service,com.smartsupplypro.inventory.controller,HealthCheckController,0,110,3,9,0,26,3,6,0,3
Inventory Service,com.smartsupplypro.inventory.controller,StockHistoryController,0,46,0,6,0,10,0,7,0,4
Inventory Service,com.smartsupplypro.inventory.service.impl.inventory,InventoryItemValidationHelper,17,132,5,21,3,32,5,17,0,9
Inventory Service,com.smartsupplypro.inventory.service.impl.inventory,InventoryItemAuditHelper,1,76,1,5,0,29,1,8,0,6
Inventory Service,com.smartsupplypro.inventory.config,SecuritySpelBridgeConfig,0,5,0,0,0,2,0,2,0,2
Inventory Service,com.smartsupplypro.inventory.config,SecurityFilterHelper.new OncePerRequestFilter() {...},0,31,0,6,0,7,0,5,0,2
Inventory Service,com.smartsupplypro.inventory.config,SecurityEntryPointHelper,0,26,0,0,0,10,0,5,0,5
Inventory Service,com.smartsupplypro.inventory.config,AppProperties.Frontend,3,20,0,0,1,6,1,4,1,4
Inventory Service,com.smartsupplypro.inventory.config,AppProperties,0,21,0,0,0,6,0,4,0,4
Inventory Service,com.smartsupplypro.inventory.config,SecurityConfig,0,275,0,8,0,58,0,22,0,18
Inventory Service,com.smartsupplypro.inventory.config,SecurityAuthorizationHelper,0,344,0,2,0,24,0,3,0,2
Inventory Service,com.smartsupplypro.inventory.config,SecurityFilterHelper,0,8,0,0,0,2,0,2,0,2
Inventory Service,com.smartsupplypro.inventory.repository.custom,StockMetricsRepositoryImpl,14,76,5,5,3,25,8,8,3,8
Inventory Service,com.smartsupplypro.inventory.repository.custom,StockDetailQueryRepositoryImpl,12,112,9,9,1,29,10,5,1,5
Inventory Service,com.smartsupplypro.inventory.repository.custom,StockTrendAnalyticsRepositoryImpl,41,189,9,11,6,50,10,13,3,10
Inventory Service,com.smartsupplypro.inventory.enums,StockChangeReason.AuditSeverity,0,27,0,0,0,2,0,1,0,1
Inventory Service,com.smartsupplypro.inventory.enums,StockChangeReason,0,163,0,14,0,36,0,19,0,11
Inventory Service,com.smartsupplypro.inventory.exception,BusinessExceptionHandler,0,66,0,12,0,22,0,10,0,4
Inventory Service,com.smartsupplypro.inventory.exception,InvalidRequestException.ValidationSeverity,0,27,0,0,0,5,0,1,0,1
Inventory Service,com.smartsupplypro.inventory.exception,DuplicateResourceException,0,144,0,12,0,28,0,17,0,11
Inventory Service,com.smartsupplypro.inventory.exception,InvalidRequestException,0,224,0,12,0,45,0,23,0,17
Inventory Service,com.smartsupplypro.inventory.exception,GlobalExceptionHandler,0,229,0,24,0,79,0,28,0,16
Inventory Service,com.smartsupplypro.inventory.service.impl,InventoryItemServiceImpl,0,286,6,24,0,58,6,19,0,10
Inventory Service,com.smartsupplypro.inventory.service.impl,SupplierServiceImpl,0,130,0,2,0,31,0,10,0,9
Inventory Service,com.smartsupplypro.inventory.service.impl,AnalyticsServiceImpl,0,52,0,0,0,9,0,9,0,9
Inventory Service,com.smartsupplypro.inventory.mapper,SupplierMapper,0,75,0,8,0,23,0,8,0,4
Inventory Service,com.smartsupplypro.inventory.mapper,InventoryItemMapper,0,104,0,10,0,34,0,10,0,5
Inventory Service,com.smartsupplypro.inventory.mapper,StockHistoryMapper,0,93,0,8,0,33,0,9,0,5
Inventory Service,com.smartsupplypro.inventory.controller.analytics,AnalyticsControllerValidationHelper,0,110,0,26,0,22,0,20,0,7
Inventory Service,com.smartsupplypro.inventory.controller.analytics,AnalyticsDashboardHelper,0,62,0,8,0,12,0,6,0,2
Inventory Service,com.smartsupplypro.inventory.security,OAuth2LoginSuccessHandler,2,293,4,34,0,62,4,22,0,7
Inventory Service,com.smartsupplypro.inventory.security,CookieOAuth2AuthorizationRequestRepository.new TypeReference() {...},0,3,0,0,0,1,0,1,0,1
Inventory Service,com.smartsupplypro.inventory.security,CookieOAuth2AuthorizationRequestRepository,1,439,7,41,0,109,7,29,0,12
Inventory Service,com.smartsupplypro.inventory.service,CustomOAuth2UserService,38,158,11,15,6,31,13,8,3,5
Inventory Service,com.smartsupplypro.inventory.service,CustomOidcUserService,38,150,10,14,6,31,12,8,3,5
Inventory Service,com.smartsupplypro.inventory.service,SecurityService,0,33,0,6,0,9,0,5,0,2
Inventory Service,com.smartsupplypro.inventory.service,StockHistoryService,0,161,0,0,0,52,0,10,0,10
Inventory Service,com.smartsupplypro.inventory.service.impl.analytics,FinancialAnalyticsService,9,485,7,47,1,100,7,24,0,4
Inventory Service,com.smartsupplypro.inventory.service.impl.analytics,FinancialAnalyticsService.WacIssue,0,9,0,0,0,1,0,1,0,1
Inventory Service,com.smartsupplypro.inventory.service.impl.analytics,AnalyticsConverterHelper,7,208,7,39,0,33,7,25,0,9
Inventory Service,com.smartsupplypro.inventory.service.impl.analytics,StockAnalyticsService,5,322,4,16,1,66,5,19,1,13
Inventory Service,com.smartsupplypro.inventory.service.impl.analytics,FinancialAnalyticsService.WacState,0,9,0,0,0,1,0,1,0,1
Inventory Service,com.smartsupplypro.inventory.dto,PriceTrendDTO,0,11,0,0,0,4,0,1,0,1
Inventory Service,com.smartsupplypro.inventory.dto,StockEventRowDTO,0,21,0,0,0,1,0,1,0,1
Inventory Service,com.smartsupplypro.inventory.validation,StockHistoryValidator,0,117,1,25,0,20,1,14,0,2
Inventory Service,com.smartsupplypro.inventory.validation,InventoryItemValidator,1,163,3,33,1,33,3,23,0,8
Inventory Service,com.smartsupplypro.inventory.validation,SupplierValidator,1,102,2,20,0,25,2,15,0,6
Inventory Service,com.smartsupplypro.inventory.validation,InventoryItemSecurityValidator,3,81,0,18,1,15,1,12,1,3
